Request ID,Request Description
09-FOI-00001,"Revised request per conversation between Medaris Oliveri and Derrick Cain of The Bureau of National Affairs, Inc. Original request sought minutes from all meetings of Amtrak's Board of Directors for calendar years 2004, 2005 and 2006. The request was modified during an April 6, 2006 telephone conversation between Medaris and Mr. Cain. The modified request seeks minutes from all meetings of Amtrak's Board of Directorss for calendar years 2005 and 2006."
09-FOI-00002,"Request seeks any draft or final agreements or memoranda of understanding singed between Amtrak and any party involved with discussion about the redevelopment of Pennsylvania Station and the creation of a new ""Moynihan Station"" in the Farley Post Office building since November 1, 2006. (Medaris initially worked on this request.)"
09-FOI-00003,"Request seeks a copy of Amtrak's current Prescription Benefit Services Agreement with Caremark for the provision of prescription benefit management, mail and specialty pharmacy services for Amtrak employees and retirees by the Amtrak's employee health benefit plans."
09-FOI-00004,Request seeks: 1. Copies of agreeements with Carolson Marketing Group. 2. Any reports concerning types of award redemptions by members. Medaris initially worked on this request.
09-FOI-00005,A copy of the title page and table of contents for the High Speed Trainset Operators Manual. Chapters of the High Speed Trainset Operators Manual relating to the Acela High Speed Trainsets
09-FOI-00006,"Request seeks the information below regarding Amtrak's bid solicitation Q 8099-145-040 1. A copy of the winning bid. 2. All available informaton about the selected vendor (name, address, etc.) 3. All information available concerning the bid amount (A breakdown of winning bid proposal in dollars). 4. Any additional public information regarding the winning bid solicitation"
09-FOI-00007,"Request seeks inspection information regarding all Amtrak bridges at the locations specified below: 1. Bucks, Chester, Delaware, Montgomery, and Philadelphia counties in Pennsylvania. 2. Burlington, Camden, and Gloucester counties in New Jersey. The request specifically seeks the information regarding all bridges owned and/or inspected by Amtrak. Specifically the information listed below: The bridge number The bridge location The name of the underpassing street or stream The type of bridge The engineering assessment of the condition of the bridge and its components The scope and date of projected repair/replacement work"
09-FOI-00008,1. Copies of all records that would justify or explain why the provisions of the Rail Passenger Service Act are not being enforced to reduce delays due to freight trains. 2. Documents showing statistics or reflecting the Surfliner being delayed by freight trains in 2006 and 2007. 3. Any single document (such as a business card) that states the name and office address and telephone number of the person who is primarily responsible for managing the Surfliner at the present time. 4. Agreement between (Southern Pacific Railway) and Amtrak that began the Surfliner back in the late 1980s. 5. Agreements now in effect between Amtrak and Union Pacific Railroad that address the priority of freight traffic or the Surfliner.
09-FOI-00009,1. Documents showing statistics or reflecting the Surfliner being delayed by freight trains in 2006 and 2007. 2. Any single document (business card is ok) that states the name and office address and telephone number of the person responsible for managing the Surfline at the present time. 3. Agreement between SP and Amtrak that began the Surfline back in the late 1980s. 4. Agreements now in effect between Amtrak and UP that address the priority of freight traffic or the Surfliner.
09-FOI-00010,1. Documents showing statistics or reflecting the Surfliner being delayed by freight trains in 2006 and 2007. 2. Any single document (business card is OK) that states the name and office address and telephone number of the person who is primarily responsibile for managing the Surfliner at the present time. 3. Agreement between SP and Amtrak that began the Surfliner back int he late 1980s. 4. Agreements now in effect between Amtrak and UP that address the priority of freight taffice or the Surfliner.
09-FOI-00011,"Requests agreements with host railroads, specifically the Pacific Surfliner. Administrative forms that relate to scheduling."
09-FOI-00012,Request seeks copies of all records that would justify or explain why the provisions the Rail Passenger Service Act are not being enforced to reduce delays due to freight trains.
